"age","sex","category","population"
66,"Miehet","v2010",48
66,"Miehet","v2024",69
67,"Miehet","v1990",27
67,"Miehet","v2010",49
67,"Miehet","v2024",50
68,"Miehet","v1990",38
68,"Miehet","v2010",30
68,"Miehet","v2024",51
69,"Miehet","v1990",26
69,"Miehet","v2010",55
69,"Miehet","v2024",52
70,"Miehet","v1990",31
70,"Miehet","v2010",27
70,"Miehet","v2024",52
71,"Miehet","v1990",13
71,"Miehet","v2010",44
71,"Miehet","v2024",62
72,"Miehet","v1990",29
72,"Miehet","v2010",47
72,"Miehet","v2024",53
73,"Miehet","v1990",29
73,"Miehet","v2010",36
73,"Miehet","v2024",62
74,"Miehet","v1990",23
74,"Miehet","v2010",33
74,"Miehet","v2024",61
75,"Miehet","v1990",17
75,"Miehet","v2010",35
75,"Miehet","v2024",47
76,"Miehet","v1990",31
76,"Miehet","v2010",23
76,"Miehet","v2024",62
77,"Miehet","v1990",16
77,"Miehet","v2010",29
77,"Miehet","v2024",50
78,"Miehet","v1990",13
78,"Miehet","v2010",23
78,"Miehet","v2024",35
79,"Miehet","v1990",17
79,"Miehet","v2010",28
79,"Miehet","v2024",45
80,"Miehet","v1990",7
80,"Miehet","v2010",35
80,"Miehet","v2024",32
81,"Miehet","v1990",21
81,"Miehet","v2010",17
81,"Miehet","v2024",33
82,"Miehet","v1990",10
82,"Miehet","v2010",9
82,"Miehet","v2024",21
83,"Miehet","v1990",6
83,"Miehet","v2010",11
83,"Miehet","v2024",33
84,"Miehet","v1990",11
84,"Miehet","v2010",7
84,"Miehet","v2024",13
85,"Miehet","v1990",3
85,"Miehet","v2010",13
85,"Miehet","v2024",19
86,"Miehet","v1990",6
86,"Miehet","v2010",11
86,"Miehet","v2024",16
87,"Miehet","v1990",4
87,"Miehet","v2010",7
87,"Miehet","v2024",11
88,"Miehet","v1990",2
88,"Miehet","v2010",9
88,"Miehet","v2024",15
89,"Miehet","v1990",3
89,"Miehet","v2010",2
89,"Miehet","v2024",11
90,"Miehet","v1990",2
90,"Miehet","v2010",2
90,"Miehet","v2024",6
91,"Miehet","v1990",1
91,"Miehet","v2010",2
91,"Miehet","v2024",6
92,"Miehet","v1990",0
92,"Miehet","v2010",0
92,"Miehet","v2024",3
93,"Miehet","v1990",3
93,"Miehet","v2010",3
93,"Miehet","v2024",4
94,"Miehet","v1990",0
94,"Miehet","v2010",1
94,"Miehet","v2024",2
95,"Miehet","v1990",0
95,"Miehet","v2010",0
95,"Miehet","v2024",2
96,"Miehet","v1990",0
96,"Miehet","v2010",1
96,"Miehet","v2024",0
97,"Miehet","v1990",0
97,"Miehet","v2010",0
97,"Miehet","v2024",0
98,"Miehet","v1990",1
98,"Miehet","v2010",0
98,"Miehet","v2024",2
99,"Miehet","v1990",0
99,"Miehet","v2010",1
99,"Miehet","v2024",0
100,"Miehet","v1990",0
100,"Miehet","v2010",2
100,"Miehet","v2024",0
0,"Naiset","v1990",58
0,"Naiset","v2010",33
0,"Naiset","v2024",15
